Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Soft skin	5/20	0.00159184064400932	0.028387889064698	5	0.25	COL1A1;COL3A1;COL1A2;COL5A1;COL5A2
Tonsillar Carcinoma	5/20	0.00159184064400932	0.028387889064698	5	0.25	CCNB1;CDKN2A;PRKDC;CDH1;HIF1A
Velvety skin	5/20	0.00159184064400932	0.028387889064698	5	0.25	COL1A1;COL3A1;COL1A2;COL5A1;COL5A2
Hepatocarcinogenesis	39/527	0.00161220574047618	0.028387889064698	39	0.0740037950664137	PRKDC;FHL2;KIF14;TGFA;ENO1;THY1;FOXM1;HIF1A;CKS1B;AURKA;FUT8;PTTG1;CDH1;PLAU;SPP1;MYBL2;PITX1;DLGAP5;E2F8;AOC1;GPX2;HSPA5;CDKN2A;IGFBP3;PLK1;TMEM132A;SULF1;AGT;CCNA2;CEACAM1;PKM;AKR1B10;LCN2;HDGF;CD24;EZH2;CDKN3;SLC25A13;PTGES
Myositis, Focal	3/6	0.00162926117466683	0.028387889064698	3	0.5	IGHG1;IGHG2;IGKC
Myositis, Infectious	3/6	0.00162926117466683	0.028387889064698	3	0.5	IGHG1;IGHG2;IGKC
Myositis, Proliferative	3/6	0.00162926117466683	0.028387889064698	3	0.5	IGHG1;IGHG2;IGKC
Trichiasis	3/6	0.00162926117466683	0.028387889064698	3	0.5	GJB2;MMP7;MMP1
Warburton Anyane Yeboa syndrome	3/6	0.00162926117466683	0.028387889064698	3	0.5	BUB1B;TRIP13;BUB1
Aneuploidy	3/6	0.00162926117466683	0.028387889064698	3	0.5	KIF11;TRIP13;AURKA
Bat ear	3/6	0.00162926117466683	0.028387889064698	3	0.5	COL1A1;COL5A1;COL5A2
Childhood Malignant Peripheral Nerve Sheath Tumor	3/6	0.00162926117466683	0.028387889064698	3	0.5	CRABP2;BIRC5;HIF1A
Congenital phimosis	3/6	0.00162926117466683	0.028387889064698	3	0.5	DSP;FERMT1;DKC1
Crumpled long bones	3/6	0.00162926117466683	0.028387889064698	3	0.5	COL1A1;COL1A2;P4HB
MUNGAN SYNDROME	3/6	0.00162926117466683	0.028387889064698	3	0.5	ORC1;GMNN;CDC6
Intrauterine retardation	24/278	0.00174789392920478	0.0303623519921135	24	0.0863309352517986	TFAP2A;CDT1;RNASEH2A;UQCC2;CKAP2L;GMNN;CDCA7;KIF14;DONSON;PYCR1;BUB1B;CDC6;RECQL4;ORC6;CDC45;ORC1;DKC1;PSAT1;SFXN4;MCM4;ALDH18A1;P4HB;XPR1;STRA6
Adenocarcinoma of prostate	20/216	0.00180569857967282	0.0311769407336259	20	0.0925925925925926	FOXA1;TFAP2A;HES6;NQO1;ST14;PCNA;MMP7;SERPINE2;CDKN2A;IGFBP3;TNC;HIF1A;MMP9;NME1;AURKA;VCAN;CLDN3;PSAT1;AGR2;EPHB2
Carcinoma	20/216	0.00180569857967282	0.0311769407336259	20	0.0925925925925926	FOXA1;GPX2;IDH2;SLC2A1;LSR;ENO1;HIF1A;CKAP4;GREM1;TUBB2B;PKM;COL5A1;EPCAM;CDH1;BASP1;MDK;CTSK;SLC25A10;ANGPTL4;XDH
Lymphatic Metastasis	15/142	0.00182502348326307	0.0313804525552638	15	0.105633802816901	MMP7;MMP1;CDKN2A;SIX1;TYMS;HIF1A;MMP9;CKAP4;NME1;MMP14;CDH1;PLAU;SFN;ANGPTL4;MUC4
Neoplasm Recurrence, Local	7/40	0.00183026521105962	0.0313804525552638	7	0.175	CLDN4;PAQR4;PLAU;CREB3L4;H2AFX;IDH2;TYMS
Abnormality of the ribs	8/51	0.00183395820707928	0.0313804525552638	8	0.156862745098039	CDT1;CDC45;ORC6;ORC1;GMNN;CDC6;P4HB;RUNX2
Ovarian Cysts	10/75	0.00186181273054533	0.0317619694181092	10	0.133333333333333	FKBP10;SFRP4;CDH3;COL1A2;MMP1;COL11A1;TMEM59L;MFAP2;MMP9;LTF
Tendinopathy	6/30	0.00189545432665839	0.0319543406396834	6	0.2	COL1A1;VCAN;COL5A1;MMP1;TNC;MMP9
Cancer of Head	6/30	0.00189545432665839	0.0319543406396834	6	0.2	RAD51;FAT1;TGFA;PRAME;TYMS;APOBEC3B
Cancer of Neck	6/30	0.00189545432665839	0.0319543406396834	6	0.2	RAD51;FAT1;TGFA;PRAME;TYMS;APOBEC3B
Femoral bowing	6/30	0.00189545432665839	0.0319543406396834	6	0.2	COL1A1;CYP27B1;MMP13;COL11A1;COL10A1;PLOD2
Endometrial adenocarcinoma	14/129	0.00198116440556949	0.0333010428759695	14	0.108527131782946	PCNA;CDKN2A;CCL20;TGFA;THBS2;HIF1A;NDC80;DAP;CEACAM1;CEACAM5;PAEP;BIRC5;EPHB2;MUC4
FANCONI ANEMIA, COMPLEMENTATION GROUP A (disorder)	22/249	0.0019956458483947	0.0334460880456766	22	0.0883534136546185	FANCI;GINS2;PCNA;MMP7;PARP1;UHRF1;H2AFX;TTK;HIF1A;MMP9;NME1;NLN;CCNB1;RAD51;CDH1;EXO1;UBE2T;CHEK1;SPP1;CDK1;HPRT1;EPHB2
Limited elbow extension	5/21	0.00201284671384749	0.0336357279813989	5	0.238095238095238	COMP;SFRP4;MMP13;CRLF1;EZH2
Intervertebral Disc Degeneration	12/102	0.00205561210799374	0.0341369482672581	12	0.117647058823529	CDA;MMP14;EGLN3;MMP13;HGD;CILP;MMP1;SPP1;TIMP1;THBS2;SULF1;LTF
Tumor Initiation	21/234	0.0020662115463968	0.0341369482672581	21	0.0897435897435897	PCNA;MMP7;MMP1;PLK1;HMGA1;TGFA;SIX1;FOXM1;HIF1A;LDHA;VCAN;MELK;RAD51;EPCAM;CDH1;TFF1;CA9;EPHB2;CD24;SLC16A3;SOX4
Anemia, Microangiopathic	4/13	0.00208465353373107	0.0341369482672581	4	0.307692307692308	GPI;GCLC;TPI1;SPTB
Ulnar bowing	4/13	0.00208465353373107	0.0341369482672581	4	0.307692307692308	RECQL4;MMP13;COL11A1;PLOD2
Hearing abnormality	4/13	0.00208465353373107	0.0341369482672581	4	0.307692307692308	GJB2;HGD;COL11A1;ABCA12
Nonspherocytic hemolytic anemia	4/13	0.00208465353373107	0.0341369482672581	4	0.307692307692308	GPI;NT5E;PKM;ALDOA
Osteogenesis imperfecta type III (disorder)	4/13	0.00208465353373107	0.0341369482672581	4	0.307692307692308	COL1A1;FKBP10;COL1A2;SERPINH1
Small head	41/570	0.00209884790168666	0.0342711878803979	41	0.0719298245614035	PRKDC;GMNN;CDCA7;KIF14;SLC2A1;BUB1B;HMGB3;KIF11;ORC6;CDC45;ORC1;TUBB3;POC1A;ARSE;BUB1;FANCI;TFAP2A;CDT1;STIL;SSR4;CKAP2L;LIMK1;DONSON;ASNS;PYCR1;KIF23;CDC6;AGT;ASPM;TUBB2B;SLC6A8;RAD51;GJB3;PSAT1;DKC1;UBE2T;EEF1A2;MCM4;ALDH18A1;TRIP13;XPR1
Adult Medulloblastoma	9/64	0.00213477019302039	0.0347584377581525	9	0.140625	MELK;PTTG1;CCNE1;UHRF1;KIF14;SCG5;EIF4EBP1;PRAME;EZH2
Clitoral hypoplasia	6/31	0.00226234368647152	0.03662689566058	6	0.193548387096774	CDT1;CDC45;ORC6;ORC1;GMNN;CDC6
Intervertebral disc disorder	6/31	0.00226234368647152	0.03662689566058	6	0.193548387096774	MMP14;CILP;COL11A1;TIMP1;THBS2;HIF1A
Decreased width of tooth	10/77	0.00227372570137223	0.0367071818738483	10	0.12987012987013	RECQL4;TFAP2A;CDH3;ORC1;CKAP2L;LIMK1;SIX1;TGFA;P4HB;NECTIN1
Teratoma	13/117	0.00229209414800163	0.0368994874812094	13	0.111111111111111	EGLN3;MMP7;PCNA;CBX3;CDKN2A;HMGA1;IGHV1-12;HIF1A;EPCAM;QPCT;CDK1;BIRC5;EZH2
Mesothelioma	30/383	0.002316912269035	0.037194251734649	30	0.0783289817232376	PCNA;TNC;SLC2A1;TGFA;MKI67;TYMS;HIF1A;AURKA;IL4I1;CDH1;PLAU;MDK;CHEK1;SPP1;EPHB2;NQO1;ST14;MARCKSL1;CDKN2A;SLC52A2;DIO2;AKR1C2;IGHV1-12;PLA2G4A;MMP9;SFRP4;MMP14;GCLC;CEACAM5;BIRC5
